            th_Reno       th_Tahoe       th_Linux        th_Vegas
count   110.000000   110.000000   110.000000   110.000000
mean   1238.532895  1244.876029  1232.365889  1209.519820
std      98.998677    94.114931    77.871970    88.748564
min     951.057434  1017.184448  1034.225464   977.554321
25%    1202.216721  1173.965073  1183.934402  1149.787903
50%    1253.306580  1246.717834  1237.100220  1222.515106
75%    1304.617310  1311.619949  1292.364883  1279.449463
max    1417.889404  1455.976868  1394.567871  1430.969238
Reno : (1220.0324941976507, 1257.033296152136)
Tahoe : (1227.2882795982662, 1262.4637789510946)
Linux : (1217.8135465912208, 1246.9182316403133)
Vegas : (1192.9349111696474, 1226.1047283900116)

